"coder","category","item","code"
0,"industry","19_industry2","[{""text"":""Electronic trade markets and brokers""}]"
0,"industry","19_industry3","[{""text"":""Bookstores and news dealers""}]"
0,"industry","19_industry4","[{""text"":""Parking lots and garages""}]"
0,"industry","19_industry5","[{""text"":""Group Mention""}]"
0,"type-Comparison","19_type1",false
0,"type-Cause/Effect","19_type1",false
0,"type-Global Pattern","19_type1",true
0,"type","19_type1","[{""text"":""Global Pattern""}]"
0,"type-Comparison","19_type2",false
0,"type-Cause/Effect","19_type2",false
0,"type-Global Pattern","19_type2",true
0,"type","19_type2","[{""text"":""Global Pattern""}]"
0,"type-Comparison","19_type3",false
0,"type-Cause/Effect","19_type3",false
0,"type-Global Pattern","19_type3",true
0,"type","19_type3","[{""text"":""Global Pattern""}]"
0,"type-Comparison","19_type4",false
0,"type-Cause/Effect","19_type4",false
0,"type-Global Pattern","19_type4",true
0,"type","19_type4","[{""text"":""Global Pattern""}]"
0,"type-Comparison","19_type5",false
0,"type-Cause/Effect","19_type5",false
0,"type-Global Pattern","19_type5",true
0,"type","19_type5","[{""text"":""Global Pattern""}]"
0,"industry","20_industry1","[{""text"":""Group Mention""}]"
0,"industry","20_industry2","[{""text"":""Group Mention""}]"
0,"industry","20_industry3","[{""text"":""Group Mention""}]"
0,"type-Comparison","20_type1",false
0,"type-Cause/Effect","20_type1",false
0,"type-Global Pattern","20_type1",true
0,"type","20_type1","[{""text"":""Global Pattern""}]"
0,"type-Comparison","20_type2",false
0,"type-Cause/Effect","20_type2",false
0,"type-Global Pattern","20_type2",true
0,"type","20_type2","[{""text"":""Global Pattern""}]"
0,"type-Comparison","20_type3",false
0,"type-Cause/Effect","20_type3",true
0,"type-Global Pattern","20_type3",false
0,"type","20_type3","[{""text"":""Cause/Effect""}]"
0,"industry","21_industry1","[{""text"":""Group Mention""}]"
0,"industry","21_industry2","[{""text"":""Group Mention""},{""text"":""Real estate credit""}]"
0,"industry","21_industry3","[{""text"":""Graphic design services""},{""text"":""Group Mention""}]"
0,"industry","21_industry4","[{""text"":""Group Mention""}]"
0,"type-Comparison","21_type1",false
0,"type-Cause/Effect","21_type1",true
0,"type-Global Pattern","21_type1",true
0,"type","21_type1","[{""text"":""Cause/Effect""},{""text"":""Global Pattern""}]"
0,"type-Comparison","21_type2",false
0,"type-Cause/Effect","21_type2",true
0,"type-Global Pattern","21_type2",true
0,"type","21_type2","[{""text"":""Cause/Effect""},{""text"":""Global Pattern""}]"
0,"type-Comparison","21_type3",false
0,"type-Cause/Effect","21_type3",true
0,"type-Global Pattern","21_type3",true
0,"type","21_type3","[{""text"":""Cause/Effect""},{""text"":""Global Pattern""}]"
0,"type-Comparison","21_type4",false
0,"type-Cause/Effect","21_type4",true
0,"type-Global Pattern","21_type4",false
0,"type","21_type4","[{""text"":""Cause/Effect""}]"
0,"industry","22_industry1","[{""text"":""Group Mention""}]"
0,"industry","22_industry2","[{""text"":""Agricultural, construction, mining manufacturing""}]"
0,"industry","22_industry3","[{""text"":""Group Mention""}]"
0,"industry","22_industry4","[{""text"":""Group Mention""}]"
0,"industry","22_industry5","[{""text"":""Nail salons""}]"
0,"type-Comparison","22_type1",false
0,"type-Cause/Effect","22_type1",false
0,"type-Global Pattern","22_type1",true
0,"type","22_type1","[{""text"":""Global Pattern""}]"
0,"type-Comparison","22_type2",false
0,"type-Cause/Effect","22_type2",false
0,"type-Global Pattern","22_type2",true
0,"type","22_type2","[{""text"":""Global Pattern""}]"
0,"type-Comparison","22_type3",false
0,"type-Cause/Effect","22_type3",false
0,"type-Global Pattern","22_type3",true
0,"type","22_type3","[{""text"":""Global Pattern""}]"
0,"type-Comparison","22_type4",false
0,"type-Cause/Effect","22_type4",false
0,"type-Global Pattern","22_type4",true
0,"type","22_type4","[{""text"":""Global Pattern""}]"
0,"type-Comparison","22_type5",false
0,"type-Cause/Effect","22_type5",false
0,"type-Global Pattern","22_type5",true
0,"type","22_type5","[{""text"":""Global Pattern""}]"
0,"industry","23_industry1","[{""text"":""Metal ore mining""},{""text"":""Oil and gas extraction""}]"
0,"industry","23_industry2","[{""text"":""Florists""}]"
0,"industry","23_industry3","[{""text"":""Bookstores and news dealers""}]"
0,"industry","23_industry4","[{""text"":""Group Mention""}]"
0,"industry","23_industry5","[{""text"":""Real estate credit""}]"
0,"type-Comparison","23_type1",false
0,"type-Cause/Effect","23_type1",false
